eastings,northings,height
176563.6875,397490.2047,25.338
176559.3761,397489.3201,25.785
176557.02,397489.8065,26.114
176554.9831,397488.4989,26.044
176552.9419,397487.8507,25.834
176549.5968,397487.3314,25.855
176546.6747,397487.0554,26.138
176542.3049,397486.9068,26.203
176536.7197,397486.9729,25.596
176533.2398,397486.9126,25.731
176524.1453,397487.2499,25.94
176516.0512,397488.289,25.801
176513.2678,397488.4303,25.621
176507.2152,397487.9132,25.865
176504.7897,397487.7053,25.713
176497.3211,397486.2987,25.004
176495.3958,397494.3632,25.053
176501.6858,397495.7348,25.645
176503.9036,397496.2596,25.852
176503.9108,397497.6232,25.89
176503.5844,397499.5418,26.062
176505.4046,397500.6961,26.107
176507.0028,397496.9154,25.778
176510.5364,397498.3605,25.47
176510.4737,397496.1772,25.549
176519.5985,397498.4593,26.253
176517.9376,397500.5785,26.328
176526.1135,397499.2167,25.97
176527.834,397498.2087,26.649
176531.317,397499.9227,26.091
176536.2707,397501.6442,26.065
176539.0093,397500.728,26.508
176538.4572,397502.2309,26.4
176545.7236,397505.2102,25.92
176553.3872,397508.6643,25.946
176553.9479,397504.1007,26.512
176554.4321,397502.2182,26.39
176554.9685,397499.0571,26.05
176555.1827,397497.9642,25.954
176555.5747,397495.6959,26.158
176555.8721,397493.8687,26.333
176556.2202,397491.8633,26.156
176564.4316,397500.2774,26.061
176566.2706,397501.8884,25.523
176564.3175,397503.4593,25.516
176564.1789,397504.7581,25.394
176563.5271,397508.938,26.045
176561.8571,397508.3403,25.51
176566.333,397509.3102,25.294
176565.3353,397516.1563,25.13
176564.6899,397516.0605,25.329
176563.4213,397515.067,25.567
176562.7752,397517.4284,25.27
176561.4952,397511.0887,25.195
176567.3886,397513.6297,25.189
176573.0159,397515.6601,25.72
176575.1315,397515.0422,25.805
176574.7433,397516.2767,25.297
176579.4468,397520.8796,25.26
176579.4245,397515.9948,25.262
176584.2245,397516.0937,25.843
176585.4121,397516.0146,25.555
176586.4084,397516.3046,26.21
176591.924,397516.8542,25.073
176592.7965,397519.821,25.168
176593.3389,397521.2479,24.953
176593.8358,397523.409,25.428
176583.5438,397510.3423,25.28
176587.0713,397508.7665,25.184
176593.1909,397508.593,24.703
176592.7447,397514.7636,25.014
176605.341,397519.8839,24.056
176616.2762,397523.9263,23.223
176618.6044,397532.1176,23.124
176609.5238,397530.4671,23.831
176600.992,397529.0397,24.627
176600.2946,397530.1882,24.848
176602.5755,397534.2702,24.815
176597.6123,397529.8672,24.765
176591.1947,397529.5765,24.628
176590.2663,397528.8509,24.758
176585.8327,397527.168,25.235
176584.6673,397525.4889,25.345
176582.8897,397525.2361,25.455
176580.8625,397524.9209,25.223
176577.7771,397526.2627,25.392
176576.9244,397526.9191,25.711
176575.6848,397524.8993,25.918
176571.4482,397524.4915,25.107
176570.5129,397525.1297,25.27
176568.5121,397528.8942,25.554
176564.2712,397528.9978,25.188
176565.7869,397524.4768,25.156
176564.6104,397524.0105,25.194
176554.5947,397522.4177,25.97
176553.9448,397521.1832,26.252
176552.2705,397520.5414,26.3
176548.6617,397522.2834,25.825
176543.7838,397522.475,25.969
176537.8301,397522.289,26.3
176532.1413,397522.0807,25.977
176525.0317,397520.7148,26.656
176524.3615,397522.4944,26.39
176518.7857,397522.1184,25.49
176518.3377,397523.5329,25.886
176512.7085,397523.2154,26.195
176511.6547,397525.901,26.418
176509.1367,397525.5083,26.08
176508.4041,397522.3792,25.941
176507.2835,397524.4096,25.657
176502.4316,397523.9189,25.666
176503.2773,397522.0129,25.957
176499.9116,397520.4531,25.539
176489.257,397517.2689,24.632
176492.9669,397501.9835,24.74
176498.2392,397503.0346,25.167
176503.8973,397505.3725,25.702
176515.5409,397505.3648,26.19
176515.5869,397507.5415,26.275
176484.2041,397529.2306,24.315
176493.2953,397531.45,24.901
176498.5166,397532.5815,25.715
176500.8899,397533.4107,25.745
176506.2845,397533.5605,25.518
176508.0232,397533.7395,25.865
176510.436,397534.4211,25.887
176514.0588,397526.2834,26.209
176512.7013,397526.0179,26.421
176508.9412,397525.0267,25.835
176514.1059,397535.3836,25.868
176522.5519,397536.1773,25.723
176521.8282,397532.0462,26.32
176521.7377,397528.0179,26.52
176526.7643,397533.2442,26.457
176528.2168,397533.3762,26.037
176530.0302,397533.9934,26.436
176531.6284,397534.114,26.13
176533.0692,397534.22,26.256
176534.8082,397534.305,26.591
176536.13,397533.5337,26.351
176536.5214,397533.0233,26.535
176537.7034,397531.3751,26.506
176539.0856,397527.7754,26.698
